customer_id,name,email,phone,age,parental_consent,consent_given,consent_date,transaction_id,amount,transaction_date,data_retention_days,purchase_category,vendor_shared,location
CUST00001,Nachiket Krishna,sarnaaarush@example.net,0575670736,53,True,True,2026-03-30,TXN01680,44619.76,2026-01-23,84,Electronics,True,Meerut
CUST00002,Dakshesh Kala,yashviboase@example.net,5612750550,50,True,True,2025-09-05,TXN00435,35829.38,2026-01-17,291,Travel,False,Muzaffarnagar
CUST00003,Urmi Kant,sagargarima@example.net,+916112876301,47,True,True,2026-01-04,TXN02616,17078.5,2026-01-29,169,Clothing,False,Anantapur
CUST00004,Samesh Jaggi,isaiahkumar@example.com,2030404006,26,True,False,2025-12-03,TXN05636,40375.7,2025-12-23,202,Travel,True,Bhopal
CUST00005,Pahal Gokhale,aradhanamitra@example.org,5537561502,42,True,True,2026-06-05,TXN05926,35258.13,2026-02-18,17,Electronics,False,Chittoor
CUST00006,Reva Biswas,mayabatta@example.net,9417499253,55,True,True,2025-11-19,TXN01655,22725.17,2025-12-21,216,Grocery,True,Adoni
CUST00007,Isaac Handa,raghavtella@example.com,+917332810848,23,True,True,2025-10-27,TXN01170,8639.82,2026-01-27,239,Travel,False,Alappuzha
CUST00008,Yashica Ganguly,diyadatta@example.org,02757725809,28,True,True,2025-12-15,TXN09126,16281.71,2026-06-20,189,Electronics,False,Eluru
CUST00009,Zaid Nadkarni,charvigandhi@example.com,+912178903728,27,True,True,2026-04-17,TXN09293,15802.43,2026-02-23,66,Travel,True,Kozhikode
CUST00010,Quincy Parekh,sdoctor@example.net,01634110614,44,True,True,2026-05-19,TXN04041,26994.97,2026-03-06,34,Travel,True,Srikakulam
CUST00011,Nakul Mall,jhalak96@example.com,4131544302,50,True,True,2026-02-12,TXN02267,4636.38,2026-02-15,130,Electronics,False,Belgaum
CUST00012,Daksha Gopal,dravi@example.net,+914875757787,68,True,True,2026-02-25,TXN01041,29834.83,2026-05-12,118,Health,False,Kakinada
CUST00013,Nitara Ravel,ldeshpande@example.org,07481281890,46,True,True,2026-02-03,TXN01877,26894.82,2026-06-11,139,Grocery,False,Purnia
CUST00014,Chaman Barad,guneet38@example.org,03461048280,62,True,True,2025-09-28,TXN04316,38121.91,2026-03-02,267,Books,False,Raichur
CUST00015,Krishna Patel,zarnaraman@example.net,0074143676,71,True,True,2026-02-24,TXN03259,38149.29,2026-05-21,118,Books,False,Panchkula
CUST00016,Hemal Chaudhari,warjastara@example.com,+914378063040,74,True,True,2026-01-28,TXN00320,18212.74,2025-12-05,146,Grocery,False,Visakhapatnam
CUST00017,Aadhya Agrawal,wriddhishkonda@example.com,6247102827,28,True,True,2026-05-09,TXN07963,48901.43,2026-06-11,45,Books,True,Solapur
CUST00018,Faris Mital,triveni23@example.net,+911348333919,62,True,True,2026-03-06,TXN08646,21214.58,2026-06-11,108,Clothing,True,Patna
CUST00019,Oviya Raja,kibeatharv@example.org,5722726928,72,True,True,2026-03-27,TXN06119,25927.03,2026-01-14,88,Electronics,False,Parbhani
CUST00020,Anusha Chanda,invalid-email,02269755150,28,True,True,2025-12-03,TXN03609,35421.26,2026-04-01,201,Electronics,True,Bareilly
CUST00021,Saumya Butala,sairandhawa@example.net,02458630768,27,True,True,2025-09-05,TXN04563,10790.42,2026-02-09,290,Clothing,False,Madanapalle
CUST00022,Hitesh Nagar,suhanikapur@example.com,8587169042,59,True,False,2026-02-09,TXN06670,4936.85,2026-03-09,134,Health,False,Raebareli
CUST00023,Bishakha Subramanian,birqabil@example.org,2586669745,35,True,True,2026-01-09,TXN01613,36437.86,2026-04-29,164,Electronics,False,Bahraich
CUST00024,Madhavi Mutti,ikorpal@example.com,8224228587,28,True,True,2026-01-30,TXN07580,46170.95,2026-01-02,144,Health,True,Kamarhati
CUST00025,Kritika Swamy,gabaishaan@example.org,07883455565,64,True,True,2026-02-03,TXN00242,46325.71,2025-12-15,140,Clothing,False,Bhagalpur
CUST00026,Wazir Sengupta,avarty@example.com,7859566150,23,True,True,2026-01-14,TXN02698,49266.91,2026-05-26,160,Grocery,False,Siwan
CUST00027,Saksham Luthra,udasgupta@example.com,06623206274,72,True,True,2026-01-06,TXN09106,24384.9,2026-02-27,168,Clothing,False,Mau
CUST00028,Zehaan Khanna,kashyapluke@example.com,+913615115805,31,True,True,2025-09-13,TXN05139,29250.46,2026-04-30,283,Books,True,Rourkela
CUST00029,Rudra Rastogi,shaishani@example.org,07844000753,71,True,True,2025-10-12,TXN03045,3491.25,2026-06-14,254,Clothing,True,Hazaribagh
CUST00030,Sudiksha Saxena,surluke@example.com,+918776593030,38,True,True,2026-05-12,TXN01344,29225.25,2026-01-23,41,Books,False,Amritsar
CUST00031,Ekani Devan,dadaisaiah@example.org,1062257004,33,True,False,2025-10-25,TXN06485,32310.49,2026-04-27,240,Health,True,Ballia
CUST00032,Netra Ratti,faras06@example.com,9965093879,33,True,False,2026-05-25,TXN09225,3755.71,2025-12-07,28,Clothing,False,Warangal
CUST00033,Rudra Dyal,udyati11@example.com,2083333442,45,True,True,2026-05-25,TXN06055,21965.41,2026-05-29,29,Books,False,Thiruvananthapuram
CUST00034,Aashi Chopra,kgupta@example.net,03755706891,58,True,True,2026-06-08,TXN09087,33203.1,2026-05-15,14,Clothing,False,Imphal
CUST00035,Urvashi Ahuja,raviavni@example.org,1268445670,29,True,True,2025-09-27,TXN03451,10259.51,2026-03-25,268,Travel,True,Haridwar
CUST00036,Manan Verma,amol82@example.org,05431009972,67,True,True,2026-01-16,TXN01513,41484.47,2026-06-03,158,Electronics,False,Bidar
CUST00037,Nilima Morar,balveerrajagopal@example.net,+912517354279,13,True,True,2025-10-04,TXN07008,5682.51,2026-06-18,262,Travel,True,Chinsurah
CUST00038,Guneet Naidu,gtella@example.org,02491936089,70,True,True,2025-09-06,TXN07042,15482.09,2026-02-16,289,Electronics,False,Visakhapatnam
CUST00039,Ekiya Chanda,owen04@example.com,01181444390,70,True,True,2026-03-13,TXN09174,20378.23,2026-04-17,102,Books,False,Vijayawada
CUST00040,Nitara Borde,orinder51@example.com,+917450633252,60,True,True,2026-05-24,TXN02901,1336.84,2026-05-26,30,Travel,False,Firozabad
CUST00041,Mohini Doshi,ijaya51@example.com,+915175893765,72,True,True,2026-05-24,TXN04066,39389.99,2026-05-14,30,Electronics,False,Solapur
CUST00042,Devika Bahl,dasguptaunnati@example.com,6652100877,37,True,True,2026-05-03,TXN07542,41044.77,2026-01-18,51,Clothing,False,Dewas
CUST00043,Manan Dass,zbiswas@example.com,+913688367448,27,True,True,2025-10-22,TXN04574,25519.34,2026-02-08,243,Travel,False,Patiala
